SAMPLE	MHC	EC	SC	CP	AZ	IPS
Pt1	2.01434559132577	-0.131716325133782	-0.132205268613305	0.550083840989632	2.30050783856832	8
Pt2	2.30105883475244	-0.148549379934325	-0.0862653712110412	0.380134357737909	2.44637844134498	8
Pt4	1.93260605436649	-0.118659056884735	-0.0773411599694339	0.331618579417049	2.06822441692937	7
Pt5	2.17256842842848	-0.062914296455857	0.121776223781281	0.508444322865912	2.73987467861981	9
Pt6	1.87979499672171	-0.128348460651561	-0.135662324687501	0.33339874666515	1.9491829580478	6
Pt7	1.88160428854665	-0.0333066343027661	0.118446807914649	0.418871646081735	2.38561610824026	8
Pt8	2.13177856091459	-0.138983460030105	-0.0808047021399079	0.39831752985163	2.3103079285962	8
Pt9	2.15585559472513	-0.0796808968265922	0.0501177968646369	0.54429178672522	2.67058428148839	9
Pt10	1.374206191635	-0.0634163933992599	-0.0830059579528764	0.389664274642664	1.61744811492553	5
Pt12	1.65887207465373	-0.0608270782559916	-0.0480740111734209	0.492987842788113	2.04295882801243	7
Pt13	2.11308864678229	-0.20146920025773	-0.247684293937267	0.320300914159881	1.98423606674717	7
Pt14	1.77673558347273	-0.127707392877642	-0.131775021919548	0.214381974267198	1.73163514294273	6
Pt15	2.29513286667801	-0.128587080882631	-0.0147881874847806	0.36330956122057	2.51506715953117	8
Pt16	1.65769407273081	-0.174140673016536	-0.277477704174061	0.319228349290737	1.52530404483095	5
Pt19	2.17471268544841	-0.122797723071748	-0.029585681317408	0.448165979926116	2.47049526098537	8
Pt20	2.39766610571448	-0.166152118286045	0.0209380055481939	0.144038081692613	2.39649007466924	8
Pt22	2.15668492306534	-0.15833154188582	-0.164902119505322	0.487103600747645	2.32055486242184	8
Pt23	2.27328065351446	-0.179868812030751	-0.163630824316847	0.279728022350218	2.20950903951708	7
Pt25	2.26855825474545	-0.12784434457453	0.0426460539737897	0.249794635800433	2.43315459994514	8
Pt27A	2.3129061560245	-0.150867139452166	-0.0492675754020468	0.191108178260534	2.30387961943082	8
Pt27B	2.20584689908989	-0.135348159069471	-0.058432038178577	0.255497516127642	2.26756421796949	8
Pt28	1.65750784585135	-0.100038064962559	-0.0553976172629127	0.415774403124077	1.91784656674995	6
Pt29	2.26556661808356	-0.138271141679593	-0.0525278068428419	0.323757457071209	2.39852512663234	8
Pt31	2.05083586799066	-0.129573636996823	-0.0501810798465587	0.373723296950597	2.24480444809787	7
Pt32	1.55938821890188	-0.079201866517218	-0.104668425439447	0.454988231241845	1.83050615818706	6
Pt35	2.04582734850397	-0.0704923777221935	0.0612811290521396	0.399788691142528	2.43640479097644	8
Pt37	2.22876392802594	-0.0871349290808812	0.142450792502606	0.35168206482091	2.63576185626857	9
Pt38	2.02219579132756	-0.0934895018616144	0.0520544383852252	0.332945370545924	2.3137060983971	8
